          <idle>-0       [004] ..s2. 170024.036819: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170063.576952: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170128.123263: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170191.428253: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170255.369224: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

           <...>-1836552 [003] ..s1. 170319.299782: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170384.012094: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170448.272839: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170513.030707: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170577.458209: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170640.753117: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170704.836252: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170767.907155: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170831.048659: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170895.326570: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 170958.364095: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171022.283553: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171086.340375: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171151.208557: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171216.021226: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

            htop-8559    [003] ..s1. 171279.660026: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171344.391787: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171409.233538: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171473.480654: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171536.736051: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171601.296838: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171665.296116: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171729.734136: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171793.326741: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171858.203239: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 171921.291060: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

